profile_id,report_date,fans_lifetime,fans_change,insights_post_clicks,insights_reactions,insights_fan_adds,insights_fan_adds_unique,insights_fan_removes,insights_activity,insights_engaged_users,insights_fan_removes_unique,insights_positive_feedback,insights_negative_feedback,insights_fans_lifetime,insights_fans_online,insights_reach,insights_reach_7_days,insights_reach_28_days,insights_video_complete_views_30s_repeat_views,insights_impressions,insights_post_reach,insights_post_impressions,insights_video_complete_views_30s,insights_reach_engagement,insights_post_clicks_unique,insights_activity_unique,insights_video_repeat_views,insights_video_views_unique,insights_views,insights_video_complete_views_30s_unique,insights_video_views,engagement_rate,insights_engagements,insights_impressions_engagement_rate,insights_reach_per_content,interactions,interactions_per_1k_fans,likes,number_of_comments,page_posts,page_shares,sentiment_manual_auto,shares,user_posts,user_posts_average_response_time,user_posts_responded,user_posts_response_rate,user_questions,user_questions_average_response_time,user_questions_responded,user_questions_response_rate,date_from,date_to,profile_url,insights_enabled
3.7709E+11,4/8/2024,4921724,1683,,1,0,0,1,,,1,,,200259,,91,903,7615,2,138,87,150,11,,,,9,35,126,12,35,0.057214,,0.044407,,67821,9.601449,33525,1572,66,,0,880,13,,,0,,,,0,1/19/2025,2/26/2025,https://facebook.com/wnepp9z2,0
9.27497E+11,1/20/2025,7898436,1334,,1,0,0,1,,,1,,,148017,,117,1223,5629,2,188,87,149,12,,,,9,35,126,13,47,0.074503,,0.072721,,16458,12.106016,29009,0,32,,0,1349,37,,,0,,,,1,1/18/2024,6/14/2024,https://facebook.com/pjsjln8a56,1
6.47426E+11,10/6/2024,5536199,621,,1,0,0,1,,,1,,,200259,,114,1223,7615,2,188,119,125,11,,,,13,35,126,9,35,0.031045,,0.009807,,22395,5.923231,27161,0,24,,0,826,13,,,1,,,,0,6/20/2024,6/28/2024,https://facebook.com/hj4fcfkytr,0
8.24534E+11,6/20/2024,6491277,358,,1,0,0,1,,,1,,,148017,,123,1223,5629,2,188,87,125,15,,,,13,35,126,13,35,0.009375,,0.029329,,45366,6.793936,25017,4515,37,,0,575,24,,,0,,,,1,2/18/2025,8/1/2025,https://facebook.com/19nuk3ujl,0
4.4898E+11,3/1/2024,7885820,960,,1,0,0,1,,,1,,,148017,,91,1223,7615,2,188,87,169,11,,,,13,35,126,9,35,0.018472,,0.048335,,13411,8.846793,0,5217,40,,0,0,29,,,1,,,,0,1/26/2024,9/3/2024,https://facebook.com/74phhnc0d,1
2.34966E+11,12/16/2023,526934,1158,,1,0,0,1,,,1,,,148017,,123,1223,5629,2,138,87,169,15,,,,9,25,126,13,35,0.060012,,0.026639,,43447,4.904698,39062,0,53,,0,1670,68,,,0,,,,0,10/27/2024,12/16/2024,https://facebook.com/oxp8ntrjv,1
5.59039E+11,2/23/2024,6581992,-199,,1,0,0,1,,,1,,,200259,,91,903,7155,2,188,119,125,11,,,,13,25,126,9,35,0.028534,,0.023875,,0,0,0,3484,30,,0,117,35,,,1,,,,1,12/13/2024,1/3/2025,https://facebook.com/g63w01m1pq7jcco,1
73179083543,12/22/2023,3280232,322,,1,0,0,1,,,1,,,200259,,91,903,6043,2,188,87,125,15,,,,13,35,170,13,47,0.053363,,0.035124,,56160,5.4376,36941,2992,27,,0,135,20,,,1,,,,0,2/23/2024,12/29/2024,https://facebook.com/7b2i0e8b,1
8.29355E+11,1/9/2024,0,-278,,1,0,0,1,,,1,,,148017,,91,1223,7615,2,188,119,169,11,,,,9,25,126,9,46,0.017244,,0.016216,,35436,13.546083,45950,0,80,,0,1213,36,,,0,,,,0,1/26/2024,2/7/2024,https://facebook.com/uwmb95yl7g,0
6.35348E+11,10/5/2024,0,1153,,1,0,0,1,,,1,,,200259,,123,903,7615,2,188,87,125,11,,,,13,35,170,9,35,0.060785,,0.048672,,29352,9.015041,37784,4659,13,,0,0,68,,,0,,,,0,8/11/2024,9/10/2024,https://facebook.com/2j12ewqn,1
7.60507E+11,12/11/2023,1003773,1805,,1,0,0,1,,,1,,,148017,,123,1223,5629,2,143,102,145,11,,,,13,35,170,13,47,0.052759,,0.070387,,37835,6.865184,1974,5248,57,,0,717,13,,,1,,,,0,12/13/2024,2/10/2025,https://facebook.com/4es06utgv8l,0
3.60981E+11,10/26/2023,5878371,431,,1,0,0,1,,,1,,,200259,,123,903,7615,2,180,87,125,11,,,,9,25,170,12,35,0.018557,,0.07295,,28849,9.834395,35246,5055,69,,0,253,54,,,1,,,,0,10/12/2023,2/5/2025,https://facebook.com/cka5k74gmp4,1
9.70991E+11,7/19/2024,4565056,-278,,1,0,0,1,,,1,,,200259,,123,903,7615,2,141,119,169,11,,,,9,25,170,9,35,0.074626,,0.038242,,42921,5.896585,20566,6735,33,,0,370,46,,,1,,,,1,3/8/2025,5/24/2025,https://facebook.com/9qpfpg4nui30z4n,0
8.9419E+11,3/3/2024,4787077,797,,1,0,0,1,,,1,,,200259,,91,1223,7615,2,138,101,125,15,,,,9,35,126,13,35,0.04229,,0.024182,,23147,6.656788,10127,4910,47,,0,538,36,,,1,,,,0,7/10/2024,12/23/2024,https://facebook.com/xdb1s7dztc3cf7o,1
7.806E+11,6/2/2024,7898436,-250,,1,0,0,1,,,1,,,200259,,123,1101,6230,2,138,119,125,11,,,,9,35,126,13,38,0.018369,,0.031209,,20599,4.642513,80413,422,13,,0,0,32,,,1,,,,1,12/3/2023,3/2/2025,https://facebook.com/trhebba8j5lsq3,1
2.02692E+11,12/15/2023,214155,-84,,1,0,0,1,,,1,,,148017,,114,903,5629,2,138,119,169,15,,,,9,25,170,13,35,0.045768,,0.01904,,0,8.615678,1571,2502,39,,0,442,68,,,0,,,,1,11/13/2024,12/25/2024,https://facebook.com/eo5d3lzltuixda,1
4.72054E+11,1/22/2024,4120704,809,,1,0,0,1,,,1,,,200259,,98,903,5629,2,188,87,169,15,,,,9,34,170,13,35,0.033811,,0.048285,,71060,4.183812,40222,3404,62,,0,1080,53,,,1,,,,1,7/3/2024,10/19/2024,https://facebook.com/tvib1km56mo9m,0
53365728129,5/25/2024,5164843,552,,1,0,0,1,,,1,,,200259,,123,903,7615,2,188,119,125,11,,,,13,25,169,13,35,0.073454,,0.011643,,0,5.149435,68830,6181,41,,0,469,17,,,0,,,,0,4/14/2024,9/8/2024,https://facebook.com/e5gly4u4tren,1
1.62747E+11,10/6/2024,1890524,38,,1,0,0,1,,,1,,,148017,,123,1223,5629,2,188,119,125,15,,,,13,25,158,13,47,0.025479,,0.026136,,78697,10.370978,37115,1844,39,,0,1670,39,,,1,,,,1,3/27/2024,6/20/2024,https://facebook.com/jp78upm6,1
6.86218E+11,5/11/2024,4296138,-74,,1,0,0,1,,,1,,,148017,,91,903,6640,2,138,119,125,11,,,,13,25,170,9,47,0.071019,,0.014477,,22078,5.678357,9426,910,74,,0,561,64,,,0,,,,1,11/1/2024,3/1/2025,https://facebook.com/8qdo7nz9d5,0
7.47315E+11,7/18/2024,0,463,,1,0,0,1,,,1,,,148017,,123,903,7615,2,138,119,125,11,,,,13,35,126,13,47,0.059648,,0.017216,,66569,8.999339,11198,0,55,,0,0,49,,,0,,,,1,5/15/2024,10/6/2024,https://facebook.com/xryf7ifzcli8j,0
9.67835E+11,7/8/2024,7898436,92,,1,0,0,1,,,1,,,200259,,123,1095,7615,2,138,87,132,11,,,,9,25,170,9,41,0.054711,,0.054045,,61227,9.36086,0,4599,53,,0,220,44,,,1,,,,1,10/27/2024,2/15/2025,https://facebook.com/utywj7blk3rqa5,1
3.32567E+11,2/22/2024,2062493,-278,,1,0,0,1,,,1,,,148017,,123,1223,5629,2,138,87,135,15,,,,12,35,170,9,35,0.015523,,0.079426,,58789,6.192537,29088,2972,22,,0,0,13,,,1,,,,0,12/14/2024,12/31/2024,https://facebook.com/cjza3qw0ktf,0
3.76755E+11,2/28/2024,7898436,145,,1,0,0,1,,,1,,,200259,,123,903,7615,2,138,106,125,11,,,,13,25,141,9,47,0.007805,,0.054358,,30879,4.999759,30108,336,13,,0,1109,80,,,0,,,,1,2/14/2025,2/25/2025,https://facebook.com/0fed45sunsiq,1
4.7486E+11,5/17/2024,4104844,611,,1,0,0,1,,,1,,,148017,,91,1186,7615,2,138,87,169,11,,,,13,25,170,9,47,0.069291,,0.020285,,0,0.757644,19538,4347,46,,0,1402,53,,,1,,,,1,1/31/2025,7/8/2025,https://facebook.com/s6zviz79,1
1.97577E+11,10/18/2023,7441519,252,,1,0,0,1,,,1,,,200259,,91,1104,7615,2,188,119,125,11,,,,13,25,170,13,47,0.046073,,0.033205,,23916,1.734252,66001,1626,39,,0,979,75,,,1,,,,0,2/28/2025,4/21/2025,https://facebook.com/hhc6rupyclrftye,0
1.38622E+11,10/4/2024,4039312,-278,,1,0,0,1,,,1,,,200259,,123,903,7615,2,188,87,125,11,,,,9,35,126,9,35,0.077258,,0.050608,,19879,9.191058,25458,0,54,,0,43,45,,,1,,,,0,9/21/2024,12/15/2024,https://facebook.com/zcm0uawkmb0kxp,1
4.80948E+11,8/27/2024,4110288,1060,,1,0,0,1,,,1,,,200259,,91,1121,5629,2,188,107,125,11,,,,9,35,170,13,35,0.041795,,0.069524,,26350,9.110225,0,5720,41,,0,25,38,,,1,,,,0,1/21/2024,5/18/2024,https://facebook.com/debba57m,0
2.3464E+11,3/14/2024,2369519,-278,,1,0,0,1,,,1,,,200259,,91,1223,7615,2,153,119,165,15,,,,9,35,154,9,35,0.047719,,0.057426,,0,2.200043,68573,0,39,,0,920,25,,,1,,,,1,10/17/2023,12/13/2023,https://facebook.com/tztordod,0
6.73116E+11,4/19/2024,4581808,67,,1,0,0,1,,,1,,,148017,,91,1223,5629,2,138,119,131,12,,,,13,35,126,9,47,0.079772,,0.012485,,20738,8.261104,0,2812,39,,0,221,58,,,1,,,,1,3/23/2024,8/22/2024,https://facebook.com/ejhifxjzsi,1
4.4278E+11,3/26/2024,5207516,-54,,1,0,0,1,,,1,,,148017,,91,1223,5629,2,138,87,125,15,,,,9,35,126,9,35,0.057555,,0.04871,,0,7.473822,41687,2188,16,,0,32,69,,,1,,,,0,6/21/2024,12/2/2024,https://facebook.com/e51ucut8r,1
8.34351E+11,9/16/2024,1739550,478,,1,0,0,1,,,1,,,200259,,123,903,7615,2,188,87,125,15,,,,13,35,126,9,47,0.029442,,0.016577,,20311,10.618185,45326,0,13,,0,0,60,,,0,,,,1,1/29/2024,3/26/2024,https://facebook.com/zq297vjt,0
7.03262E+11,11/13/2024,3813596,764,,1,0,0,1,,,1,,,168870,,102,1223,5629,2,188,119,125,11,,,,13,35,168,13,47,0.066396,,0.030572,,33297,13.546083,25431,3257,20,,0,1549,80,,,0,,,,1,11/20/2024,5/11/2025,https://facebook.com/xu4n1pu4,0
3.19243E+11,11/28/2023,2287498,1156,,1,0,0,1,,,1,,,200259,,91,1223,7615,2,188,111,125,11,,,,9,35,170,9,47,0.024344,,0.077221,,5633,9.041185,53551,760,16,,0,252,41,,,1,,,,1,4/27/2024,6/19/2024,https://facebook.com/mptbet2cr3,0
8.33937E+11,5/10/2024,7898436,-118,,1,0,0,1,,,1,,,148017,,123,903,7615,2,188,119,125,15,,,,13,25,126,9,35,0.042481,,0.071474,,21230,3.507605,29795,6585,38,,0,972,26,,,0,,,,0,2/12/2025,4/13/2025,https://facebook.com/8pyi6uqi2m,1
8.06717E+11,10/8/2023,3924701,782,,1,0,0,1,,,1,,,200259,,103,903,7615,2,188,119,169,15,,,,9,25,126,9,35,0.019798,,0.021285,,34418,9.778182,17690,4919,13,,0,816,44,,,0,,,,0,10/22/2023,2/6/2025,https://facebook.com/d9kanl29xweivyp,1
3.93604E+11,5/31/2024,7898436,511,,1,0,0,1,,,1,,,200259,,123,1223,6028,2,138,119,169,15,,,,9,25,170,9,35,0.07958,,0.058555,,60330,1.972323,0,3001,29,,0,39,55,,,0,,,,0,12/4/2023,3/25/2024,https://facebook.com/o5d5v8geku32cq,0
2.95445E+11,2/11/2024,3591541,-278,,1,0,0,1,,,1,,,148017,,91,1223,6097,2,188,87,125,15,,,,13,35,170,13,38,0.074827,,0.027032,,61605,13.546083,0,0,78,,0,533,33,,,0,,,,1,6/15/2024,8/10/2024,https://facebook.com/1ookjsqjb43bvy,0
6.85671E+11,3/29/2024,5022797,1691,,1,0,0,1,,,1,,,200259,,91,903,7539,2,138,87,169,15,,,,9,35,126,10,35,0.070035,,0.001621,,38771,1.165863,80413,1098,37,,0,0,38,,,1,,,,1,3/2/2024,8/6/2024,https://facebook.com/3whn19qo9in3,1
1.48355E+11,6/3/2024,49687,-278,,1,0,0,1,,,1,,,148017,,123,1223,7615,2,138,87,169,15,,,,9,35,170,13,47,0.03269,,0.068159,,28568,8.445214,48092,909,39,,0,1315,43,,,1,,,,1,1/19/2025,3/23/2025,https://facebook.com/x69xd16o1r,0
2.07909E+11,3/23/2024,2800418,666,,1,0,0,1,,,1,,,200259,,91,1223,6610,2,188,87,125,14,,,,9,25,126,9,47,0.058554,,0.065977,,40288,6.53609,62552,5425,39,,0,4,49,,,0,,,,1,6/29/2024,8/10/2024,https://facebook.com/9vtz0g9x0ezhe3h,1
17288647053,4/30/2024,4869408,646,,1,0,0,1,,,1,,,148017,,91,1223,6169,2,188,109,125,15,,,,9,35,126,9,35,0.021602,,0.024239,,84320,4.719212,80413,2895,43,,0,713,41,,,1,,,,0,10/25/2024,2/27/2025,https://facebook.com/2o9spy1uag,1
7.89055E+11,11/16/2024,7898436,566,,1,0,0,1,,,1,,,200259,,91,903,5629,2,138,87,125,11,,,,9,35,132,13,35,0.03181,,0.061995,,44747,4.444097,17767,3236,28,,0,236,43,,,1,,,,0,10/11/2024,3/16/2025,https://facebook.com/tc4dvc5a,0
6.68202E+11,12/10/2024,4905427,33,,1,0,0,1,,,1,,,148017,,96,1223,7615,2,138,87,169,15,,,,13,35,126,13,47,0.064558,,0.003487,,37407,12.481996,23921,4952,35,,0,0,51,,,1,,,,1,7/31/2024,10/18/2024,https://facebook.com/ysp7tfmuonfix,1
7.08114E+11,10/4/2023,7898436,948,,1,0,0,1,,,1,,,148017,,97,903,7615,2,188,108,169,11,,,,13,25,170,9,35,0.005456,,0.043643,,62161,9.004566,0,6455,27,,0,1109,54,,,1,,,,1,9/18/2024,2/26/2025,https://facebook.com/ei5nktj5hvd6j2,0
7.82922E+11,4/21/2024,6222903,-278,,1,0,0,1,,,1,,,148017,,91,903,7615,2,138,119,125,11,,,,13,35,126,9,35,0.004911,,0.078545,,30928,5.861793,19803,6034,13,,0,221,28,,,1,,,,0,2/12/2024,6/1/2024,https://facebook.com/uanrdmu2hwzbpc3,0
4.64327E+11,12/30/2024,7898436,330,,1,0,0,1,,,1,,,200259,,91,903,5629,2,138,97,169,15,,,,9,25,126,13,47,0.053225,,0.06329,,3456,13.546083,19075,3798,62,,0,0,13,,,1,,,,0,5/7/2024,9/6/2024,https://facebook.com/uy7wjx24tnqlh,0
5.73054E+11,7/12/2024,4021255,-15,,1,0,0,1,,,1,,,200259,,123,903,5629,2,188,87,169,15,,,,12,25,170,13,35,0.062193,,0.046469,,43457,6.009016,16997,1793,20,,0,746,17,,,1,,,,0,2/10/2024,8/2/2024,https://facebook.com/8mv8nz3zs6m1ib,0
1.48399E+11,1/19/2024,7898436,-93,,1,0,0,1,,,1,,,195392,,123,1223,7615,2,188,119,169,11,,,,9,35,170,9,35,0.0313,,0.0299,,34655,9.740961,57019,3525,71,,0,117,48,,,1,,,,0,1/18/2025,3/31/2025,https://facebook.com/qynqpukhhwt80j,0
1.23385E+11,8/15/2024,2679843,672,,1,0,0,1,,,1,,,200259,,91,1130,5629,2,188,87,169,14,,,,9,25,126,9,35,0.054299,,0.059092,,22801,0.667376,47703,2378,23,,0,598,24,,,1,,,,1,11/14/2023,9/18/2024,https://facebook.com/hj1xkyhdo,1
6.71719E+11,12/18/2023,1795543,1121,,1,0,0,1,,,1,,,154040,,91,1223,7615,2,188,119,169,11,,,,13,32,155,13,47,0.072335,,0.078057,,46035,0.900958,53389,4385,13,,0,986,44,,,1,,,,1,1/5/2025,4/3/2025,https://facebook.com/3rw4zhn9,1
4.76385E+11,10/12/2023,399899,138,,1,0,0,1,,,1,,,200259,,123,1030,5629,2,138,87,169,11,,,,13,34,170,13,47,0.008899,,0.016178,,0,9.631112,0,1068,78,,0,708,37,,,1,,,,1,11/14/2023,6/13/2024,https://facebook.com/9uvv8voqshz,0
5.69584E+11,9/5/2024,7898436,916,,1,0,0,1,,,1,,,200259,,123,903,7615,2,177,114,169,11,,,,9,32,170,13,47,0.066611,,0.004913,,12986,7.874824,28646,4673,13,,0,1004,40,,,0,,,,0,5/24/2024,7/2/2024,https://facebook.com/cn1178uuh7,0
7.67349E+11,7/4/2024,6785194,410,,1,0,0,1,,,1,,,148017,,91,903,7615,2,138,119,125,11,,,,9,34,170,13,35,0.046957,,0.030804,,2684,13.546083,37379,2573,13,,0,0,49,,,1,,,,1,11/15/2024,5/10/2025,https://facebook.com/9h6h040e8,0
6.38371E+11,11/11/2024,3155792,-242,,1,0,0,1,,,1,,,148017,,123,1160,6085,2,188,87,169,15,,,,9,35,170,9,35,0.034366,,0.041833,,5849,3.444095,79678,3405,13,,0,1176,63,,,0,,,,1,6/5/2024,6/28/2024,https://facebook.com/x2p09wjbyz2n0e2,0
5.58044E+11,4/3/2024,7898436,197,,1,0,0,1,,,1,,,200259,,123,903,7615,2,188,87,125,15,,,,9,32,170,11,43,0.005085,,0.020372,,24771,9.482305,31083,0,36,,0,345,38,,,0,,,,0,2/18/2025,3/6/2025,https://facebook.com/km3vsf3epqzbaw,0
5.63615E+11,1/3/2025,6370660,168,,1,0,0,1,,,1,,,200259,,91,903,7615,2,188,87,126,15,,,,12,25,170,13,35,0.031342,,0.049708,,1729,5.453496,23302,1789,13,,0,0,17,,,1,,,,1,1/8/2025,2/10/2025,https://facebook.com/c1swmhl614,0
3.10911E+11,5/15/2024,7898436,-107,,1,0,0,1,,,1,,,193371,,123,1223,5629,2,148,88,169,15,,,,12,25,126,13,42,0.063717,,0.025164,,80572,10.236562,57995,3553,27,,0,0,45,,,1,,,,0,12/29/2024,5/12/2025,https://facebook.com/5gxngnyt6xt,1
40509656222,11/1/2024,0,672,,1,0,0,1,,,1,,,200259,,91,1223,7615,2,188,119,169,11,,,,13,35,170,9,47,0.043815,,0.078572,,43229,9.8893,20677,2013,13,,0,339,53,,,0,,,,0,10/18/2024,3/25/2025,https://facebook.com/2lf2zg9xt9,0
4.4235E+11,11/24/2023,3372129,538,,1,0,0,1,,,1,,,148017,,123,1223,7615,2,138,87,125,15,,,,13,35,126,9,47,0.014928,,0.021962,,5254,6.407569,40886,0,61,,0,73,13,,,0,,,,1,2/16/2025,4/15/2025,https://facebook.com/2ujcbiklakvsq,1
2.22439E+11,11/22/2023,2751812,-278,,1,0,0,1,,,1,,,196349,,91,1223,5629,2,188,87,169,11,,,,9,35,126,9,47,0.019345,,0.064435,,0,3.29012,40064,0,47,,0,82,24,,,1,,,,0,4/1/2024,5/19/2024,https://facebook.com/vu26i5n6qy1oqmh,1
4.14443E+11,11/25/2024,0,-278,,1,0,0,1,,,1,,,200259,,123,903,5629,2,188,87,125,15,,,,13,35,170,13,47,0.067962,,0.077206,,11682,5.044795,13412,3297,13,,0,696,39,,,0,,,,1,11/14/2023,12/28/2023,https://facebook.com/6cc2x0kvrb88vey,0
8.54869E+11,12/23/2024,7543059,670,,1,0,0,1,,,1,,,200259,,123,903,7615,2,138,119,169,14,,,,9,25,170,9,47,0.0352,,0.040464,,19415,1.662579,8659,6145,13,,0,1466,29,,,1,,,,1,7/9/2024,8/22/2024,https://facebook.com/xhzqp9a66,1
2.416E+11,2/19/2025,3356283,-189,,1,0,0,1,,,1,,,200259,,123,1223,7615,2,188,119,125,15,,,,13,25,126,9,47,0.008543,,0.016741,,10112,8.12285,25618,1889,20,,0,9,41,,,0,,,,1,4/9/2024,6/16/2024,https://facebook.com/ua6y0j1fxz852zp,1
67719714272,3/23/2024,6534073,585,,1,0,0,1,,,1,,,200259,,123,903,7615,2,188,87,169,14,,,,9,25,126,13,42,0.077893,,0.07134,,89602,0,14484,1261,52,,0,561,26,,,1,,,,0,11/9/2023,2/26/2025,https://facebook.com/j1o4gdiqftc2,1
2.8857E+11,10/13/2023,7898436,916,,1,0,0,1,,,1,,,148017,,106,903,6799,2,176,105,133,14,,,,13,25,126,9,47,0.021024,,0.032785,,0,3.98713,0,5038,60,,0,195,58,,,1,,,,1,2/5/2024,8/25/2024,https://facebook.com/316csxh95q8,0
3.00658E+11,3/12/2025,3095626,-278,,1,0,0,1,,,1,,,200259,,123,1223,5629,2,138,119,125,11,,,,13,35,170,13,35,0.063922,,0.043986,,31019,10.480861,46514,2486,34,,0,0,40,,,0,,,,0,10/31/2023,7/30/2024,https://facebook.com/8way3kxo97,0
6.65297E+11,8/20/2024,2881967,-278,,1,0,0,1,,,1,,,200259,,123,903,7615,2,188,107,125,15,,,,9,35,126,9,46,0.002011,,0.004874,,25504,10.376274,42320,4280,28,,0,0,13,,,1,,,,0,11/22/2023,10/15/2024,https://facebook.com/sc9xsmfi2k49,0
5.61462E+11,2/11/2024,4580362,1535,,1,0,0,1,,,1,,,200259,,123,903,5629,2,188,119,169,15,,,,9,25,170,13,47,0.021264,,0.0285,,21871,0,5884,1735,27,,0,1423,53,,,0,,,,1,12/4/2024,1/30/2025,https://facebook.com/3isqm7h5,0
7.86059E+11,11/15/2024,7313133,619,,1,0,0,1,,,1,,,200259,,91,1223,6478,2,138,119,125,14,,,,9,25,153,12,35,0.027633,,0.04492,,0,9.076482,3192,1464,45,,0,518,55,,,1,,,,0,2/5/2024,9/8/2024,https://facebook.com/x01yfnur28i3e8,0
6.6767E+11,1/30/2025,2424001,85,,1,0,0,1,,,1,,,148017,,91,909,7615,2,138,87,125,15,,,,9,25,170,13,35,0.068895,,0.055746,,28160,1.538416,40052,4473,57,,0,405,38,,,1,,,,1,7/16/2024,8/21/2024,https://facebook.com/87a99pqqtwcb,0
4.12323E+11,3/2/2024,2221859,-271,,1,0,0,1,,,1,,,148017,,91,903,7615,2,188,87,169,11,,,,9,31,130,9,47,0.060088,,0.076141,,34962,4.873843,75110,4107,36,,0,129,13,,,0,,,,0,9/9/2024,12/11/2024,https://facebook.com/tuwiej3q,1
8.1588E+11,11/18/2024,7533187,22,,1,0,0,1,,,1,,,200259,,91,1223,7615,2,188,87,125,15,,,,9,29,126,13,47,0.025334,,0.047096,,51093,9.876866,54818,1673,31,,0,548,57,,,1,,,,0,3/12/2024,7/15/2024,https://facebook.com/d5gt9lqnk80q,0
1.75303E+11,11/28/2024,5398306,-278,,1,0,0,1,,,1,,,200259,,123,903,7615,2,188,87,169,11,,,,10,25,126,11,47,0.063211,,0.02244,,44190,2.264383,59809,0,54,,0,156,18,,,0,,,,1,6/17/2024,9/14/2024,https://facebook.com/s81l3o7aywkw,0
32484952402,6/27/2024,0,987,,1,0,0,1,,,1,,,170381,,123,971,7615,2,188,87,169,15,,,,13,35,170,13,47,0.064995,,0.045016,,66592,12.766787,18046,0,69,,0,1583,31,,,0,,,,0,6/7/2024,2/2/2025,https://facebook.com/fq4dj6p9h,1
99147382167,9/5/2024,351639,-162,,1,0,0,1,,,1,,,200259,,91,903,7415,2,138,117,169,15,,,,9,35,126,13,47,0.04145,,0.006603,,0,7.651184,38022,0,33,,0,650,27,,,1,,,,0,2/1/2025,3/23/2025,https://facebook.com/mb6kcntolzz9,0
7.25136E+11,2/23/2024,7898436,1133,,1,0,0,1,,,1,,,200259,,92,1223,5629,2,188,119,145,11,,,,10,35,170,9,47,0.041123,,0.0127,,22302,8.550981,22820,908,40,,0,588,13,,,1,,,,1,2/26/2025,5/28/2025,https://facebook.com/a48x7v4rp,1
